date.month,month,tmean,total_precip,t_min2,t_max2,precip,mean.ndvi
01/04/2017,Apr-17,20.306,4,8.093,26.503,10.4,0.407
01/05/2017,May-17,17.382,2.75,8.068,28.913,2.4,0.408
01/06/2017,Jun-17,14.993,1.12,4.24,26.55,12,0.355
01/07/2017,Jul-17,13.547,1.2,2.361,25.081,15,0.308
01/08/2017,Aug-17,13.256,3.53,2.6,22.09,15,0.316
01/09/2017,Sep-17,18.726,2.58,6.497,28.32,34,0.32
01/10/2017,Oct-17,19.439,4.24,7,30.145,69,0.428
01/11/2017,Nov-17,21.219,5.91,9.307,31.453,15,0.418
01/12/2017,Dec-17,24.329,3,10.861,35.613,14.5,0.424
01/01/2018,Jan-18,26.386,9.55,13.913,35.471,67.7,0.341
01/02/2018,Feb-18,25.227,7.82,15.143,31.357,44,0.482
01/03/2018,Mar-18,22.196,1.31,13.355,27.806,18,0.5
