Collection.date,Tube.number,Year,Month/Year,ID,Sex,Time,Troop,Troop1,Faecal weight,Proto ,Oeso,Trich,Tern,Subu,protoEPG,oesoEPG,trichEPG,ternEPG,subuEPG,no_sp,proto_present,oeso_present,trich_present,tern_present,subu_present,sp_present,Tmin_chloe,Tmax_chloe,sample_count,bi_week_no,precip_bi_weekly,ndvi
03/04/2017,547,2017,Apr-17,dodg,M,12:50,PT,1,1.49,318,0,0,0,0,213.4228188,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.3817
03/04/2017,556,2017,Apr-17,mori,M,13:05,PT,1,1.09,264,0,0,0,0,242.2018349,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.3817
03/04/2017,561,2017,Apr-17,nige,M,12:53,PT,1,0.88,340,0,0,0,0,386.3636364,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.3817
03/04/2017,550,2017,Apr-17,schm,M,11:05,PT,1,0.99,48,0,0,0,0,48.48484848,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.3817
03/04/2017,559,2017,Apr-17,coco,F,16:48,RBM,2,0.85,720,3,3,0,0,847.0588235,3.529411765,3.529411765,0,0,3,1,1,1,0,0,1,9.6,31.3,55,1,10.2,0.4021
03/04/2017,553,2017,Apr-17,flyn,M,08:35,RBM,2,1.02,21,0,0,0,0,20.58823529,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.4021
03/04/2017,558,2017,Apr-17,saff,F,12:05,RBM,2,1.24,3,0,0,0,0,2.419354839,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.4021
03/04/2017,557,2017,Apr-17,sash,F,13:10,RBM,2,1.1,242,0,0,0,0,220,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.4021
03/04/2017,560,2017,Apr-17,bone,M,14:25,RST,3,1.03,52,0,0,0,0,50.48543689,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.454
03/04/2017,552,2017,Apr-17,laya,F,13:35,RST,3,1.18,120,0,0,0,0,101.6949153,0,0,0,0,1,1,0,0,0,0,1,9.6,31.3,55,1,10.2,0.454
